Resuming training from epoch 5 using C:\Users\Administrator\Downloads\RawNet2\artifacts\rawnet2_ljspeech_aug\train_state.pt
Device: cuda
Training files: 38480
Validation files: 24844
Run directory: C:\Users\Administrator\Downloads\RawNet2\artifacts\rawnet2_ljspeech_aug
Train label sources | asvspoof=25380 | ljspeech_bonafide=13100
[Train] epoch 006 batch 0710/1203 loss=0.00316 avg_loss=0.00832 avg_acc=99.45
[Train] epoch 006 batch 0720/1203 loss=0.01489 avg_loss=0.00829 avg_acc=99.46
[Train] epoch 006 batch 0730/1203 loss=0.00179 avg_loss=0.00832 avg_acc=99.46
[Train] epoch 006 batch 0740/1203 loss=0.02328 avg_loss=0.00858 avg_acc=99.44
[Train] epoch 006 batch 0750/1203 loss=0.04429 avg_loss=0.00873 avg_acc=99.43
[Train] epoch 006 batch 0760/1203 loss=0.06149 avg_loss=0.00965 avg_acc=99.38
[Train] epoch 006 batch 0770/1203 loss=0.00339 avg_loss=0.00991 avg_acc=99.35
[Train] epoch 006 batch 0780/1203 loss=0.00222 avg_loss=0.00986 avg_acc=99.35
[Train] epoch 006 batch 0790/1203 loss=0.00034 avg_loss=0.00980 avg_acc=99.35
[Train] epoch 006 batch 0800/1203 loss=0.06905 avg_loss=0.01032 avg_acc=99.33
[Train] epoch 006 batch 0810/1203 loss=0.01128 avg_loss=0.01055 avg_acc=99.29
[Train] epoch 006 batch 0820/1203 loss=0.02006 avg_loss=0.01087 avg_acc=99.26
[Train] epoch 006 batch 0830/1203 loss=0.05335 avg_loss=0.01097 avg_acc=99.25
[Train] epoch 006 batch 0840/1203 loss=0.00431 avg_loss=0.01097 avg_acc=99.24
[Train] epoch 006 batch 0850/1203 loss=0.00185 avg_loss=0.01101 avg_acc=99.24
[Train] epoch 006 batch 0860/1203 loss=0.00624 avg_loss=0.01103 avg_acc=99.23
[Train] epoch 006 batch 0870/1203 loss=0.00079 avg_loss=0.01099 avg_acc=99.24
[Train] epoch 006 batch 0880/1203 loss=0.00030 avg_loss=0.01094 avg_acc=99.24
[Train] epoch 006 batch 0890/1203 loss=0.00008 avg_loss=0.01083 avg_acc=99.25
[Train] epoch 006 batch 0900/1203 loss=0.02295 avg_loss=0.01074 avg_acc=99.26
[Train] epoch 006 batch 0910/1203 loss=0.00272 avg_loss=0.01063 avg_acc=99.27
[Train] epoch 006 batch 0920/1203 loss=0.00016 avg_loss=0.01067 avg_acc=99.26
[Train] epoch 006 batch 0930/1203 loss=0.00058 avg_loss=0.01056 avg_acc=99.27
[Train] epoch 006 batch 0940/1203 loss=0.00009 avg_loss=0.01046 avg_acc=99.28
[Train] epoch 006 batch 0950/1203 loss=0.00205 avg_loss=0.01049 avg_acc=99.28
[Train] epoch 006 batch 0960/1203 loss=0.02414 avg_loss=0.01052 avg_acc=99.26
[Train] epoch 006 batch 0970/1203 loss=0.00146 avg_loss=0.01054 avg_acc=99.26
[Train] epoch 006 batch 0980/1203 loss=0.00034 avg_loss=0.01053 avg_acc=99.26
[Train] epoch 006 batch 0990/1203 loss=0.00046 avg_loss=0.01049 avg_acc=99.26
[Train] epoch 006 batch 1000/1203 loss=0.00025 avg_loss=0.01045 avg_acc=99.26
[Train] epoch 006 batch 1010/1203 loss=0.00076 avg_loss=0.01053 avg_acc=99.25
[Train] epoch 006 batch 1020/1203 loss=0.00223 avg_loss=0.01056 avg_acc=99.25
[Train] epoch 006 batch 1030/1203 loss=0.00533 avg_loss=0.01062 avg_acc=99.24
[Train] epoch 006 batch 1040/1203 loss=0.01310 avg_loss=0.01062 avg_acc=99.23
[Train] epoch 006 batch 1050/1203 loss=0.00018 avg_loss=0.01056 avg_acc=99.24
[Train] epoch 006 batch 1060/1203 loss=0.00028 avg_loss=0.01050 avg_acc=99.25
[Train] epoch 006 batch 1070/1203 loss=0.00012 avg_loss=0.01046 avg_acc=99.25
[Train] epoch 006 batch 1080/1203 loss=0.00032 avg_loss=0.01041 avg_acc=99.25
[Train] epoch 006 batch 1090/1203 loss=0.00007 avg_loss=0.01042 avg_acc=99.25
[Train] epoch 006 batch 1100/1203 loss=0.00014 avg_loss=0.01040 avg_acc=99.25
[Train] epoch 006 batch 1110/1203 loss=0.06731 avg_loss=0.01046 avg_acc=99.24
[Train] epoch 006 batch 1120/1203 loss=0.00094 avg_loss=0.01047 avg_acc=99.24
[Train] epoch 006 batch 1130/1203 loss=0.00250 avg_loss=0.01043 avg_acc=99.24
[Train] epoch 006 batch 1140/1203 loss=0.00292 avg_loss=0.01039 avg_acc=99.25
[Train] epoch 006 batch 1150/1203 loss=0.00112 avg_loss=0.01043 avg_acc=99.25
[Train] epoch 006 batch 1160/1203 loss=0.02609 avg_loss=0.01084 avg_acc=99.22
[Train] epoch 006 batch 1170/1203 loss=0.00516 avg_loss=0.01085 avg_acc=99.22
[Train] epoch 006 batch 1180/1203 loss=0.00242 avg_loss=0.01089 avg_acc=99.22
[Train] epoch 006 batch 1190/1203 loss=0.00029 avg_loss=0.01082 avg_acc=99.23
[Train] epoch 006 batch 1200/1203 loss=0.00016 avg_loss=0.01077 avg_acc=99.23
[Train] epoch 006 batch 1203/1203 loss=0.00062 avg_loss=0.01075 avg_acc=99.23
Epoch 006 | train_loss=0.01075 | train_acc=99.23 | dev_acc=99.08
Saved new best checkpoint to C:\Users\Administrator\Downloads\RawNet2\artifacts\rawnet2_ljspeech_aug\best.pth
[Train] epoch 007 batch 0001/1203 loss=0.00096 avg_loss=0.00096 avg_acc=100.00
[Train] epoch 007 batch 0010/1203 loss=0.00012 avg_loss=0.00031 avg_acc=100.00
[Train] epoch 007 batch 0020/1203 loss=0.00005 avg_loss=0.00040 avg_acc=100.00
[Train] epoch 007 batch 0030/1203 loss=0.00664 avg_loss=0.00097 avg_acc=99.90
[Train] epoch 007 batch 0040/1203 loss=0.00003 avg_loss=0.00119 avg_acc=99.84
[Train] epoch 007 batch 0050/1203 loss=0.00008 avg_loss=0.00096 avg_acc=99.88
[Train] epoch 007 batch 0060/1203 loss=0.00559 avg_loss=0.00105 avg_acc=99.84
[Train] epoch 007 batch 0070/1203 loss=0.00003 avg_loss=0.00400 avg_acc=99.73
[Train] epoch 007 batch 0080/1203 loss=0.00263 avg_loss=0.00362 avg_acc=99.77
[Train] epoch 007 batch 0090/1203 loss=0.03329 avg_loss=0.00422 avg_acc=99.76
[Train] epoch 007 batch 0100/1203 loss=0.00424 avg_loss=0.00571 avg_acc=99.56
[Train] epoch 007 batch 0110/1203 loss=0.00068 avg_loss=0.00712 avg_acc=99.35
[Train] epoch 007 batch 0120/1203 loss=0.01613 avg_loss=0.00820 avg_acc=99.30
[Train] epoch 007 batch 0130/1203 loss=0.00155 avg_loss=0.00871 avg_acc=99.23
[Train] epoch 007 batch 0140/1203 loss=0.00110 avg_loss=0.00870 avg_acc=99.24
[Train] epoch 007 batch 0150/1203 loss=0.00496 avg_loss=0.00876 avg_acc=99.27
[Train] epoch 007 batch 0160/1203 loss=0.00044 avg_loss=0.00887 avg_acc=99.26
[Train] epoch 007 batch 0170/1203 loss=0.00274 avg_loss=0.00911 avg_acc=99.23
[Train] epoch 007 batch 0180/1203 loss=0.01426 avg_loss=0.01038 avg_acc=99.15
[Train] epoch 007 batch 0190/1203 loss=0.01182 avg_loss=0.01158 avg_acc=99.03
[Train] epoch 007 batch 0200/1203 loss=0.00357 avg_loss=0.01173 avg_acc=99.03
[Train] epoch 007 batch 0210/1203 loss=0.00061 avg_loss=0.01140 avg_acc=99.06
[Train] epoch 007 batch 0220/1203 loss=0.00377 avg_loss=0.01100 avg_acc=99.11
[Train] epoch 007 batch 0230/1203 loss=0.00013 avg_loss=0.01148 avg_acc=99.10
[Train] epoch 007 batch 0240/1203 loss=0.00184 avg_loss=0.01136 avg_acc=99.09
[Train] epoch 007 batch 0250/1203 loss=0.00130 avg_loss=0.01127 avg_acc=99.08
[Train] epoch 007 batch 0260/1203 loss=0.00748 avg_loss=0.01108 avg_acc=99.05
[Train] epoch 007 batch 0270/1203 loss=0.00216 avg_loss=0.01094 avg_acc=99.06
[Train] epoch 007 batch 0280/1203 loss=0.01293 avg_loss=0.01061 avg_acc=99.08
[Train] epoch 007 batch 0290/1203 loss=0.00144 avg_loss=0.01043 avg_acc=99.12
[Train] epoch 007 batch 0300/1203 loss=0.04300 avg_loss=0.01044 avg_acc=99.11
